DESCRIPTION description NN 07201365-n
LODGE lodge NN 03541696-n
APPURTENANCES appurtenance NNS 02671421-n
MASTER master NN 10298647-n
MISTRESS mistress NN 10323634-n
MASTERS master NNS 10298647-n
MISSES miss VBZ 00810557-v
LARGE large JJ 01382086-a
DINNER-PARTY dinner_party NN 08253815-n
HOT hot JJ 01247240-a
DRAWING-ROOM drawing_room NN 03235180-n
WAY way NN 04928903-n
ESCAPE escape VB 00810557-v
traveller traveller NN 09629752-n
ride ride VB 01955984-v
drive drive VB 02742232-v
sight sight NN 00881649-n
Lodge lodge NN 03541696-n
being be VBG 02604760-v
tempted tempt VBN 00782527-v
inquire inquire VB 00784342-v
house house NN 03544360-n
is be VBZ 02604760-v
forms form VBZ 02621395-v
indeed indeed RB 00037641-r
very very RB 00031899-r
striking strike VBG 01410223-v
object object NN 00002684-n
right right NN 05565337-n
road road NN 04096066-n
hill hill NN 09303008-n
rises rise VBZ 02624263-v
gradually gradually RB 00107987-r
overlooks overlook VBZ 02696129-v
town town NN 08665504-n
one one NN 13742573-n
Lancashire lancashire NN 08884806-n
left left NN 05565548-n
trees tree NNS 13912260-n
mansion mansion NN 08685677-n
are be VBP 02604760-v
not not RB 00024073-r
yet yet RB 00027795-r
sufficient sufficient JJ 02335828-a
growth growth NN 13489037-n
make make VB 02621395-v
picturesque picturesque JJ 00407887-a
lofty lofty JJ 01205473-a
portico portico NN 03986704-n
wings wing NNS 02151625-n
commanding command VBG 02696129-v
site site NN 08651247-n
render render VB 02327200-v
ornament ornament NN 03169390-n
neighbourhood neighbourhood NN 08641113-n
miles mile NNS 13651218-n
round round NN 04119892-n
are be VBP 02604760-v
admitted admit VBN 02502536-v
view view NN 05933246-n
house house NN 04417809-n
convenience convenience NN 04018667-n
public public NN 08179689-n
Wednesday wednesday NN 15164233-n
is be VBZ 02604760-v
set set VBN 01494310-v
apart apart RB 00181075-r
being be VBG 02604760-v
shown show VBN 02137132-v
find find VB 02128873-v
still still RB 00027384-r
more more RB 00099712-r
admire admire VB 01827858-v
as as RB 00022131-r
see see VB 02128873-v
only only RB 00010759-r
distance distance NN 05084201-n
has have VBZ 00770437-v
park park NN 08615374-n
conservatories conservatory NNS 03092314-n
cause cause VBP 00770437-v
mercury mercury NN 14645346-n
thermometer thermometer NN 04421872-n
paraded parade VBN 01924712-v
run run VB 01525666-v
up up RP 00097011-r
heat heat NN 05016171-n
tropics tropic NNS 08675145-n
bring bring VB 02077656-v
down down RP 00096089-r
again again RB 00040365-r
temperature temperature NN 05011790-n
Straits strait NNS 09446115-n
has have VBZ 00065639-v
drawing-rooms drawing_room NNS 03235180-n
great great JJ 01123879-a
library library NN 03660664-n
full full JJ 01083157-a
new new JJ 02584699-a
books book NNS 02870092-n
bedrooms bedroom NNS 02821627-n
dressing-rooms dressing_room NNS 03238131-n
great great JJ 01123879-a
man man NN 10287213-n
house house NN 04417809-n
have have VB 00065639-v
study study NN 05755883-n
Sir sir NN 10601451-n
own own JJ 01768724-a
private private JJ 01858094-a
study study NN 05755883-n
delightful delightful JJ 01807964-a
little little JJ 01391351-a
apartment apartment NN 02726305-n
is be VBZ 02604760-v
small small JJ 01391351-a
not not RB 00024073-r
more more RB 00099712-r
feet foot NNS 05563266-n
square square NN 13878634-n
be be VB 02604760-v
more more RB 00099712-r
agreeable agreeable JJ 00089051-a
convenient convenient JJ 00604617-a
opens open VBZ 02358034-v
door door NN 03224032-n
great great JJ 01123879-a
hall hall NN 03719053-n
entrance entrance NN 03290771-n
communicates communicate VBZ 01030678-v
long long JJ 01433493-a
offices office NNS 00586262-n
mansion mansion NN 03719053-n
enabling enable VBG 01194806-a
knight knight NN 10238375-n
receive receive VB 00900583-v
interruption interruption NN 15271008-n
not not RB 00024073-r
only only RB 00008600-r
Sir sir NN 10601451-n
being be VBG 02604760-v
proprietor proprietor NN 10388924-n
cotton-mills cotton_mill NNS 03115663-n
gardener gardener NN 10120533-n
bailiff bailiff NN 09833111-n
wish wish VB 00903098-v
transact transact VB 02245765-v
business business NN 01094725-n
fitting fit VBG 02667900-v
up up RP 00097011-r
princely princely JJ 02024928-a
mansion mansion NN 08685677-n
is be VBZ 02604760-v
only only RB 00008600-r
necessary necessary JJ 01580050-a
say say VB 01009240-v
is be VBZ 02604760-v
done do VBN 01712704-v
spirit spirit NN 04632157-n
imitation imitation NN 01020936-n
renders render VBZ 02327200-v
fully fully RB 00178909-r
equal equal JJ 00051045-a
respect respect NN 06206800-n
most most RB 00073033-r
finished finish VBN 01265989-v
private private JJ 01858094-a
dwellings dwelling NNS 03259505-n
Europe europe NN 09275473-n
furniture furniture NN 03405725-n
is be VBZ 02604760-v
uniformly uniformly RB 00250153-r
rich rich JJ 02397234-a
picture-frames picture_frame NNS 03931765-n
best good JJS 01123148-a
style style NN 04928903-n
art art NN 00933420-n
Saxony saxony NN 08769179-n
carpets carpet NNS 04118021-n
drawing-rooms drawing_room NNS 03235180-n
Turkey turkey NN 09039411-n
ditto ditto NN 06821279-n
Brussels brussels NNS 08850450-n
bedrooms bedroom NNS 02821627-n
indeed indeed RB 00037641-r
not not RB 00024073-r
single single JJ 02213947-a
inch inch NN 13649791-n
not not RB 00024073-r
attempt attempt VB 02530167-v
state state NN 08544813-n
amount amount NN 13331198-n
Sir sir NN 10601451-n
wealth wealth NN 13250398-n
Cocker cocker NN 02102318-n
have have VB 00056930-v
found find VBN 02154508-v
laborious laborious JJ 00836544-a
task task NN 00795720-n
make make VB 01617192-v
calculation calculation NN 00868910-n
is be VBZ 02604760-v
sufficient sufficient JJ 02335828-a
gratification gratification NN 13986679-n
reasonable reasonable JJ 01943406-a
curiosity curiosity NN 03149951-n
say say VB 01009240-v
whole whole JJ 00517916-a
line line NN 00582388-n
Golconda golconda NN 03444169-n
country country NN 08544813-n
being be VBG 02604760-v
manufacturing manufacturing NN 00924825-n
districts district NNS 08552138-n
is be VBZ 02604760-v
probably probably RB 00296131-r
world world NN 08179689-n
was be VBD 02604760-v
not not RB 00024073-r
one one NN 13742573-n
vie vie VB 01072262-v
wealth wealth NN 13250398-n
word word NN 06286395-n
shone shine VBD 02763740-v
rich rich JJ 01081340-a
neighbours neighbour NNS 10352299-n
golden golden JJ 00670938-a
sun sun NN 09450163-n
surrounded surround VBN 01467370-v
silver silver NN 14654954-n
moons moon NNS 11484975-n
Sir sir NN 10601451-n
was be VBD 02604760-v
superior superior JJ 02341266-a
man man NN 10287213-n
ways way NNS 04928903-n
was be VBD 02604760-v
feet foot NNS 05563266-n
inches inch NNS 13649791-n
height height NN 05002352-n
stout stout NN 05097166-n
proportion proportion NN 13898315-n
hands hand NNS 05564590-n
feet foot NNS 05563266-n
have have VB 00065639-v
sufficed suffice VBN 02669789-v
giant giant NN 10129133-n
intellectual intellectual JJ 01332386-a
gifts gift NNS 05624042-n
were be VBD 02604760-v
also also RB 00047534-r
ordinary ordinary JJ 01672607-a
character character NN 05929008-n
liked like VBD 01777210-v
well well RB 00014285-r
enough enough RB 00145713-r
perhaps perhaps RB 00300247-r
stand stand VB 01546111-v
commercial commercial JJ 00483146-a
estimation estimation NN 05803379-n
neighbours neighbour NNS 10352299-n
so so RB 00117620-r
enlightened enlighten VBN 00926932-v
was be VBD 02604760-v
spirit spirit NN 04632157-n
liked like VBD 01777210-v
better good JJR 01123148-a
still still RB 00027384-r
shine shine VB 02763740-v
eyes eye NNS 05311054-n
man man NN 10745332-n
taste taste NN 05658226-n
literary literary JJ 02830501-a
accomplished accomplish VBN 02526085-v
gentleman gentleman NN 10745332-n
speaker speaker NN 10631309-n
modern modern JJ 01535709-a
languages language NNS 06282651-n
critical critical JJ 00649586-a
French french JJ 02958392-a
scholar scholar NN 10557854-n
playful playful JJ 02121859-a
votary votary NN 10759982-n
muses muse NNS 09565999-n
universal universal NN 06751367-n
wielded wield VBD 02204564-v
pen pen NN 03907227-n
service service NN 00577525-n
Sir sir NN 10601451-n
valued value VBN 00681429-v
reputation reputation NN 14438125-n
lighter lighter NN 02792552-n
graces grace NNS 09495382-n
wit wit NN 06776138-n
gallantry gallantry NN 04857738-n
sought seek VBD 02530167-v
make make VB 01755816-v
delightful delightful JJ 01807964-a
mixture mixture NN 08398773-n
Count count NN 13591761-n
de de NN 09069862-n
was be VBD 02604760-v
receptacle receptacle NN 04060904-n
wit wit NN 06776138-n
Miller miller NN 11180209-n
downwards downwards RB 00095320-r
gallant gallant JJ 00640106-a
memoirs memoir NNS 06516495-n
intelligible intelligible JJ 00533452-a
tongue tongue NN 05301072-n
did do VBD 01645601-v
not not RB 00024073-r
study study VB 00644583-v
assiduity assiduity NN 04865502-n
perseverance perseverance NN 04864515-n
order order NN 06529219-n
was be VBD 02604760-v
often often RB 00035058-r
heard hear VBN 02169702-v
declare declare VB 00965871-v
loved love VBD 01775164-v
so so RB 00117620-r
well well RB 00014285-r
promotion promotion NN 00198451-n
mirth mirth NN 07529377-n
tragedy tragedy NN 07314838-n
comedy comedy NN 07015510-n
often often RB 00035058-r
walk walk VB 01904930-v
world world NN 08179689-n
hand hand NN 05564590-n
hand hand NN 05564590-n
together together RB 00507927-r
alliance alliance NN 14418822-n
be be VB 02604760-v
traced trace VBN 02156063-v
difficulty difficulty NN 00623862-n
career career NN 00583246-n
Sir sir NN 10601451-n
wife wife NN 10780632-n
