nombre nombre NCMS000 05121418-n
innombrable innombrable AQ0CS00 00301951-a
est être VMIP3S0 02604760-v
maison maison NCFS000 08078020-n
ont avoir VAIP3P0 02604760-v
lieu lieu NCMS000 00027167-n
plus plus RG 00099341-r
village village NCMS000 08226699-n
soir soir NCMS000 15166462-n
entrais entrer VMII1S0 02005948-v
trouvai trouver VMIS1S0 02285629-v
train train NCMS000 04468005-n
maison maison NCFS000 08078020-n
plus plus RG 00099341-r
Surtout surtout RG 00073897-r
pas pas RN 00024073-r
coin coin NCMS000 03109486-n
femme femme NCFS000 10787470-n
a avoir VAIP3S0 00056930-v
épluché éplucher VMP00SM 00628302-v
pomme pomme NCFS000 07710616-n
Rose rose NCCS000 03080731-n
prends prendre VMIP1S0 00674607-v
Habile habile AQ0CS00 02225510-a
habile habile AQ0CS00 02225510-a
Désirée désirer VMP00SF 00903212-v
escabeau escabeau NCMS000 04315599-n
décroche décrocher VMIP3S0 01366321-v
poutre poutre NCFS000 03437941-n
trouve trouver VMIP1S0 02285629-v
chandelier chandelier NCMS000 02948557-n
Bon bon AQ0MS00 01123148-a
cuivre cuivre NCMS000 14635722-n
dos dos NCMN000 06568422-n
Faites faire VMM02P0 00120316-v
fillettes fillette NCFP000 10084295-n
tout tout RG 00008007-r
commander commander VMN0000 02480803-v
doit devoir VMIP3S0 01189113-v
passe passer VMIP1S0 02051694-v
bon bon AQ0MS00 01123148-a
droit droit NCMS000 08441203-n
plus plus RG 00099341-r
armoire armoire NCFS000 03148324-n
même même RG 00018043-r
avertis avertir VMIS1S0 00870213-v
étain étain NCMS000 14658855-n
pur pur AQ0MS00 00247247-a
paraît paraître VMIP3S0 02133435-v
difficile difficile AQ0CS00 00744916-a
palais palais NCMN000 05309725-n
filles fille NCFP000 10485440-n
Rose rose NCCS000 03080731-n
Désirée désirer VMP00SF 00903212-v
réserve réserve NCFS000 04329477-n
Rose rose NCCS000 03080731-n
miette miette NCFS000 07622473-n
trop trop RG 00047392-r
jeunesse jeunesse NCFS000 10804406-n
campagne campagne NCFS000 15203791-n
sont être VMIP3P0 02604760-v
beaucoup beaucoup RG 00059171-r
points point NCMP000 13911872-n
sœurs sœur NCFP000 10595164-n
mettent mettre VMIP3P0 01494310-v
gloire gloire NCFS000 14435809-n
regarder regarder VMN0000 00693780-v
feu feu NCMS000 13480848-n
Rose rose NCCS000 03080731-n
met mettre VMIP3S0 01494310-v
gloire gloire NCFS000 14435809-n
suivie suivre VMP00SF 02000868-v
ait avoir VASP3S0 02604760-v
été être VMP00NC 02604760-v
a avoir VAIP3S0 02604760-v
toujours toujours RG 00087916-r
passé passer VMP00SM 02051694-v
est être VMIP3S0 02604760-v
pas pas RN 00024073-r
plus plus RG 00099341-r
fin fin NCCS000 15266911-n
fins fin NCCP000 15266911-n
maison maison NCFS000 08078020-n
placent placer VMIP3P0 01494310-v
plus plus RG 00099341-r
près près RG 00409709-r
possible possible AQ0CS00 01821266-a
importe importer VMIP1S0 02346136-v
langues langue NCFP000 06282651-n
tournent tourner VMIP3P0 01510399-v
tournent tourner VMIP3P0 01510399-v
pareillement pareillement RG 00361065-r
rouets rouet NCMP000 04279462-n
viendra venir VMIF3S0 00341917-v
oraisons oraison NCFP000 07189130-n
père père NCMS000 10080869-n
berger berger NCMS000 02104523-n
faisant faire VMG0000 00120316-v
aiguilles aiguille NCFP000 03544238-n
plus plus RG 00099341-r
moutons mouton NCMP000 02413131-n
vieux vieux AQ0MN00 01638438-a
huguenot huguenot NCMS000 10191089-n
savez savoir VMIP2P0 00594621-v
bon bon AQ0MS00 01123148-a
Dieu dieu NCMS000 09505418-n
psaumes psaume NCMP000 06466787-n
monsieur monsieur NCMS000 06341340-n
curé curé NCMS000 09927451-n
Tiens tenir VMM02S0 02202384-v
frère frère NCMS000 10595164-n
compagnie compagnie NCFS000 08058098-n
suis être VSIP1S0 02604760-v
laissé laisser VMP00SM 02229055-v
suivre suivre VMN0000 02000868-v
femme femme NCFS000 10780632-n
porte porte NCFS000 03221720-n
étaient étayer VMIP3P0 01219004-v
