tarde tarde NCFS000 15167027-n
mayo mayo NCMS000 15211484-n
primeros 1 AO0MP00 02186338-a
años año NCMP000 15203791-n
siglo siglo NCMS000 15205532-n
volvían volver VMII3P0 00120316-v
feria feria NCFS000 00519333-n
Marcos marco NCMP000 05125377-n
tres tres AQ0CP00 02186580-a
parecer parecer NCMS000 05945642-n
criados criar VMP00PM 01617192-v
grandes grande AQ0CP00 01382086-a
señores señor NCMP000 10271677-n
entonces entonces RG 00117620-r
repartían repartir VMII3P0 02467662-v
dominio dominio NCMS000 05196582-n
cincuenta cincuenta NCFS000 13749644-n
seis seis NCFN000 13744722-n
años año NCMP000 15203791-n
edad edad NCFS000 15153787-n
montaba montar VMII3S0 01955984-v
jaca jaca NCFS000 02386141-n
estampa estampa NCFS000 04679738-n
poco poco RG 00176750-r
aventajada aventajar VMP00SF 01105639-v
tiro tiro NCMS000 00122661-n
ballesta ballesta NCFS000 03136369-n
descubría descubrir VMII3S0 02143283-v
robustez robustez NCFS000 05031012-n
resistencia resistencia NCFS000 05031012-n
propias propio AQ0FP00 01104026-a
ejercicios ejercicio NCMP000 00624738-n
puño puño NCMS000 05565064-n
izquierdo izquierdo AQ0MS00 02032953-a
cubierto cubrir VMP00SM 01430447-v
guante guante NCMS000 03441112-n
llevaba llevar VMII3S0 01449974-v
Registrando registrar VMG0000 01000214-v
orillas orilla NCFP000 09433442-n
camino camino NCMS000 04096066-n
atento atento AQ0MS00 00638981-a
voz voz NCFS000 04981941-n
señales señal NCFP000 06791372-n
iba ir VMII3S0 01835496-v
sabueso sabueso NCMS000 10611613-n
hermosa hermoso AQ0FS00 00217728-a
raza raza NCFS000 07967982-n
hombre hombre NCMS000 10287213-n
tenía tener VMII3S0 01216670-v
cuerpo cuerpo NCMS000 05216365-n
enjuto enjuto AQ0MS00 00990192-a
flexible flexible AQ0CS00 01022064-a
fisonomía fisonomía NCFS000 05601357-n
viva vivo AQ0FS00 00804695-a
atezada atezar VMP00SF 00245458-a
porte porte NCMS000 05002822-n
movimientos movimiento NCMP000 00331950-n
revelaba revelar VMII3S0 02143283-v
ocupación ocupación NCFS000 00582388-n
oficio oficio NCMS000 01032040-n
segundo 2 AO0MS00 02186470-a
treinta treinta NCFS000 13749407-n
seis seis NCFN000 13744722-n
años año NCMP000 15203791-n
era ser VSII3S0 02604760-v
reverso reverso NCMS000 06257569-n
medalla medalla NCFS000 06706676-n
fisonomía fisonomía NCFS000 05601357-n
abultada abultar VMP00SF 00263231-v
expresión expresión NCFS000 04679738-n
reunía reunir VMII3S0 01380638-v
cuerpo cuerpo NCMS000 05216365-n
macizo macizo AQ0MS00 02263680-a
